symbol,open_time,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
BTCUSDT,2021-02-11 14:00:00,47555.46,47755.57,47233.0,47393.72,1682.030506,79810312.06137677,39719,885.88282700,42045090.37991945
BTCUSDT,2021-02-11 14:15:00,47391.28,47800.0,47374.81,47657.68,1166.844067,55559957.67126825,28954,585.61367200,27884084.44057651
BTCUSDT,2021-02-11 14:30:00,47657.69,48061.69,47657.62,47914.4,1444.739357,69184203.75165901,30050,892.08860000,42718043.33832213
BTCUSDT,2021-02-11 14:45:00,47914.4,48100.0,47788.81,47864.81,1042.391812,49961001.66294515,24901,612.27000900,29355532.61156082
BTCUSDT,2021-02-11 15:00:00,47864.81,48185.26,47576.58,47685.58,1898.272268,90868836.81611351,35863,910.46973500,43629434.88326795
BTCUSDT,2021-02-11 15:15:00,47685.59,48095.17,47685.59,47830.4,1193.562753,57145759.09403199,30971,625.71826900,29961871.61144959
BTCUSDT,2021-02-11 15:30:00,47830.41,48000.0,47700.0,47776.46,694.862758,33227769.49413433,23185,358.69160500,17153074.58109628
BTCUSDT,2021-02-11 15:45:00,47775.7,48150.0,47775.7,47960.85,1159.379987,55620110.62666783,29621,609.35191700,29233899.73532904
BTCUSDT,2021-02-11 16:00:00,47960.86,48298.0,47675.0,47821.31,1814.673468,87026528.29375669,45369,957.44051000,45943771.95143473
BTCUSDT,2021-02-11 16:15:00,47820.31,48050.0,47713.25,47790.64,944.679779,45255916.92192253,32650,500.72258800,23990167.63257586
BTCUSDT,2021-02-11 16:30:00,47789.86,47864.65,47500.0,47568.64,1150.838714,54778291.38877156,35388,518.48392400,24677507.95626123
